"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Esquisse de la mise en place des trois pélerins attablés";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";15.3;23.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4302";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007133"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1890;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";28;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2733";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143198"
"La Chandelle";"Louis GALLIAC";1908;"";"1849, Dijon (Côte-d'Or, France) - 1934, Paris (France)";"Peinture";"Une paysanne, assise sur une brouette, dans un jardin, souffle sur une fleur de pissenlit montée en graine, qu'on appelle vulgairement une """"chandelle""""Huile sur toile";59.5;46.2;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"979";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001860"
"Deux hommes, vêtus, luttent ensemble";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et lavis sur papier calque";21;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"5015";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067480"
"Etude du ravisseur";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et gouache sur papier";16;18.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4647";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065379"
"Abraham et Melchisedech";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier pelure";19.1;28.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"3931";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064760"
"Divers personnages";"Charles TOCHÉ";NA;"";"1851, Nantes (Loire-Atlantique, France) - 1916, Paris (France)";"Dessin";"Craie et lavis";17;24;1902;"Achat";"Achat à l'artiste en 1902";"1653";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003469"
"Intérieur flamand";"Rodolphe BRESDIN";1861;"";"1822, Montrelais (Loire-Atlantique, France) - 1885, Sèvres (Hauts-de-Seine, France)";"Estampe";"Lithographie sur papier contrecollé sur papier";36;27.2;2007;"Donation";"Donation de Madame Gallico-Bresdin en 2007";"07.1.13.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007342"
"La Saltarelle";"Théodorus HELMBREKER";1696;"";"1624, Haarlem (Pays-Bas) - 1694, Rome (Italie)";"Peinture";"Huile sur toile";39;67;1810;"Achat";"Achat à M François Cacault en 1810";"527";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005170"
"Paysages italiens : collines, montagnes, boqueteau à gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Aquarelle - papier dessin bleu";18.5;27.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4537";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007620"
"Tête virile";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";5;6;NA;"Mode d'acquisition non renseigné";"Acquisition";"1451";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063953"
"Personnage, tête baissée, lisant un papier tenu dans la main droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";36.7;12.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"5465";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068910"
"Nature morte : pêches";"Pierre-Alexis LESAGE";NA;"";"1872, Nantes (Loire-Atlantique, France) - 1932, Nantes (Loire-Atlantique, France)";"Peinture";"Huile sur carton";18.3;26.6;1935;"Don";"Don de Mme Lesage en 1935";"2171";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002540"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°83Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136398"
"Maternité";"Maurice ASSELIN";1923;"";"1882, Orléans (Loiret, France) - 1947, Neuilly-sur-Seine (Seine)";"Peinture";"Huile sur toile";100.5;73.5;1955;"Don";"Don de la Société des amis du Musée des Beaux-Arts de Nantes en 1955";"955.2.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001144"
"Le jardin sous la neige";"Donatien ROY";1905;"";"1854, Nantes (Loire-Atlantique, France) - 1930, Nantes (Loire-Atlantique, France)";"Dessin";"Aquarelle, mine graphite sur papier bristol";26;17.9;1960;"Don";"Don de la Société des amis du Musée des Beaux-Arts de Nantes en 1960";"6695";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003316"
"Paris, Rue du Grenier sur l'eau";"Henry Wilfrid DEVILLE";1927;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";35.9;28.1;1949;"Legs";"Legs de M Deville en 1949";"6332";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005725"
"Le duel";"James TISSOT";1884;"";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Estampe";"Illustration pour un livre Renée Mauperin des GoncourtEau-forte sur papier vergé";15;10;1904;"Legs";"Legs de M Tissot en 1904";"3869";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005991"
"Etude pour les feuilles mortes";"Alexandre CHANTRON";NA;"";"1842, Nantes (Loire-Atlantique, France) - 1918, Nantes (Loire-Atlantique, France)";"Dessin";"Fusain et mise au carreau sur papier brun";45.7;60.9;NA;"Mode d'acquisition non renseigné";"Acquisition";"NI (3)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000121801"
"L'Assomption de la sainte Vierge";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et crayon sur papier calque";15;20.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5486";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068931"
"Un boeuf au repos";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier blanc";11.7;15.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"6194";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165609"
"Saint Jean-Baptiste et le Christ";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";21.6;13.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4145";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065068"
"Joyeux devis";"Charles-Auguste LEBOURG";1876;"";"1829, Nantes (Loire-Atlantique, France) - 1906, Paris (France)";"Sculpture";"GroupeBronze";55;56;1892;"Legs";"Legs de M Emile André Aimé Cosse en 1892";"1815";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005136"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°97Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136412"
"Rome. Un éventaire de la place Navone";"Jules Elie DELAUNAY";1860;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";10;13.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"4616";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007702"
"Portrait de Benjamin Péret";"Louis MARCOUSSIS (Ludwik Kazimierz MARKUS, dit)";NA;"";"1878, Varsovie (Pologne) - 1941, Cusset (Allier, France)";"Estampe";"Estampe, EpreuvePointe-sèche et eau-forte, tirage sur papier";44.7;32.8;NA;"Dépôt Direction des musées de France";"AcquisitionDirection des musées de FranceDépôt au Musée des Beaux-Arts de Nantes en 1992";"SEM 753";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003627"
"Etude de nu : homme assis, trois-quart droite, penché en avant, main gaughe au menton";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon, fusain et mise au carreau sur papier calque";47.5;32.1;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.2.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003794"
"La Verrière (Vue du nouveau viaduc)";"Félix BENOIST";NA;"";"1818, Saumur (Maine-et-Loire, France) - 1896, Nantes (Loire-Atlantique, France)";"Estampe";"Série : Nantes et la Loire-InférieureLithographie sur papier Canson";20.1;29.4;NA;"Dépôt Etat";"Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876";"3280 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005685"
"Portrait de Mademoiselle Stéphanie Brousset";"Jules Elie DELAUNAY";1871;"Musée d'Arts - Palais - Salle  15";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Peinture";"Huile sur toile";66;61.6;1913;"Achat";"Achat en 1913";"913.1.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005371"
"Le père de l'artiste";"Pierre-Alexis LESAGE";1917;"";"1872, Nantes (Loire-Atlantique, France) - 1932, Nantes (Loire-Atlantique, France)";"Peinture";"Huile sur carton";40.5;33.1;1923;"Don";"Don de l'artiste en 1923";"2007";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002502"
"Roses, souvenir de Malmaison";"Ernest LAURENT";NA;"";"1859, Paris (France) - 1929, Bièvres (Aisne, France)";"Peinture";"Huile sur bois";45.7;38;1931;"Achat";"Achat madame Ernest Laurent en 1931";"931.4.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002406"
"Trafalgar Tavern à Greenwich";"James TISSOT";1878;"";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Estampe";"Estampe, EpreuveEau-forte sur papier";35.5;25.2;1904;"Legs";"Legs de M Tissot en 1904";"3857 (a)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005979"
"Arbre";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon";30.5;20.5;1957;"Don";"Don Mme Duvergé en 1957";"6612";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005613"
"Paysage d'Ile de France";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure sur bois en couleurs sur papier japonais";25.6;35.5;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.47.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002860"
"Homme assis, quasi de face, les deux mains sur la gauche";"Jules Elie DELAUNAY";1856;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";31.5;16;NA;"Mode d'acquisition non renseigné";"Acquisition";"6040";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007869"
"Achille à l'Assemblée, assis, bras croisés, épée dans la main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";20.8;16.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5074";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068177"
"Ensemble du groupe """"Le serment de Brutus"""". Brutus est à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sanguine sur papier Vergé";10;11.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5087";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068205"
"Portrait de Madame Henri-Jean-Pierre Picou, mère de l'artiste";"Henry-Pierre PICOU";1846;"";"1824, Nantes (Loire-Atlantique, France) - 1895, Nantes (Loire-Atlantique, France)";"Peinture";"huile sur toile";100;80;1917;"Don";"Don de Mme Eugène Picou en 1917";"1954 ,  917.1.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005453"
"Etude de la mise en place des deux sujets";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";10.3;17.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4655";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065390"
"La Garde, chien de berger et moutons";"Mathilde THOMAS-SOYER (Mathilde THOMAS, dit)";1884;"";"1860, Troyes (Aube, France) - 1940, ?";"Sculpture";"GroupePlâtre";130;125;1904;"Don";"Don de M Maisonneuve en 1904";"1850";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003440"
"La rue de Gigant";"Pierre-Alexis LESAGE";1922;"";"1872, Nantes (Loire-Atlantique, France) - 1932, Nantes (Loire-Atlantique, France)";"Peinture";"Huile sur toile";46;38;1933;"Don";"Don de Mme Berthe Lesage en 1933";"2110";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002523"
"Tristan et Yseult";"Henri FANTIN-LATOUR";NA;"";"1836, Grenoble (Isère, France) - 1904, Buré (Orne, France)";"Estampe";"Estampe, Matrice pierre lithographiquePierre lithographique";37.5;27.1;1912;"Don";"Don de Mme Fantin-Latour en 1912";"2905";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008219"
"Etude de moissonneur accroupi liant une gerbe";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";26;18.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4688";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066233"
"Le professeur de violon Antiseri";"Jules Elie DELAUNAY";1858;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";26;18.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5721";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007908"
"Frontispice. Wagner et sa Muse";"Henri FANTIN-LATOUR";1886;"";"1836, Grenoble (Isère, France) - 1904, Buré (Orne, France)";"Estampe";"Lithographie sur papier";22.8;15;1912;"Legs";"Legs en 1912";"3293";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008231"
"Le vieux vallon (petite suite)";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Eau-forte sur papier";25.4;18.3;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.34.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002847"
"Rêverie";"Hippolyte-Jean FLANDRIN";1846;"Musée d'Arts - Palais - Salle 10";"1809, Lyon (Rhône, France) - 1864, Rome (Italie)";"Peinture";"Huile sur toile";60;51;1852;"Don";"Don de M Clarke de Feltre en 1852";"965";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004161"
"Personnage vêtu de tuniques, un gros sac dans la main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";16.5;8.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"5062";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067527"
"Une maison";"Louis-Eugène LAMBERT";NA;"";"1825, Paris (France) - 1900, Paris (France)";"Peinture";"Huile sur toile";23;21;1938;"Legs";"Legs de Mme Lambert en 1938";"2228 ,  938.5.19.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005428"
"Dame à l'éventail rouge";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Peinture";"huile sur toile";81;56;1957;"Don";"Don Mme Duvergé en 1957";"957.5.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005376"
"Paysage animé (Deux hommes), d'après  I Caminenti";"Prosper BARBOT";NA;"";"1798, Nantes (Loire-Atlantique, France) - 1878, Chambellay (Maine-et-Loire, France)";"Peinture";"Huile sur toile";25;33;1936;"Legs";"Legs de Le Chatellier en 1936";"936.4.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005330"
"Sujet à genoux, mains jointes de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";33.3;23.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4115";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065039"
"Plusieurs études pour Chloë";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";30.7;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"4827";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067295"
"Carnet n°23";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Liste des modèles masculins et féminins de l'artiste avec leurs coordonnées et notes d'appréciation.Carnet cousu avec couverture cartonnée. Mine de plomb et encre brune.";17;10.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"Récolement en cours";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000050320"
"Garçonnet debout, déhanché, tient un bâton de ses deux mains";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";29.5;22;NA;"Mode d'acquisition non renseigné";"Acquisition";"5887";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007709"
"Etude d'un antique debout, de face, visage levé, bras tombants";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";13;9.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"6106";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165520"
"Portrait de René Levrel";"Henry OTTMANN";1925;"";"1877, Ancenis (Loire-Atlantique, France) - 1927, Vernon (Eure, France)";"Peinture";"Huile sur toile";41;33;1974;"Don";"Don de M René Levrel en 1974";"974.1.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002943"
"Esquisses de différents vendeurs chassés";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";28;31.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4257";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007087"
